Export (X1),Import (X2),Industrial production growth rate (X3),Investment (X4),Unemployment rate (X5),GDP (Y)
538800000000.0,401800000000.0,6.6,24.0,4.7,3745000000000.0
893300000000.0,716700000000.0,2.2,17.6,10.6,2362000000000.0
113000000000.0,36210000000.0,2.8,17.2,25.0,310200000000.0
162500000000.0,92910000000.0,6.4,19.1,8.3,1408000000000.0
130700000000.0,121100000000.0,4.7,20.4,3.4,251900000000.0
76640000000.0,45960000000.0,5.2,17.5,4.3,183000000000.0
583100000000.0,552400000000.0,17.1,46.0,9.8,7262000000000.0
315600000000.0,256100000000.0,2.0,19.4,7.0,1023000000000.0
250600000000.0,214200000000.0,10.1,28.7,3.6,925100000000.0
121700000000.0,97970000000.0,5.5,15.8,5.6,255400000000.0
170500000000.0,165400000000.0,12.2,18.0,4.5,576200000000.0
293100000000.0,252700000000.0,0.8,19.9,6.0,481100000000.0
268100000000.0,275900000000.0,1.0,22.7,6.7,234500000000.0
35840000000.0,14980000000.0,12.3,12.9,17.1,145200000000.0
27420000000.0,11120000000.0,-5.0,8.0,2.2,48000000000.0
32160000000.0,15250000000.0,6.0,26.2,25.4,212300000000.0
123500000000.0,99300000000.0,10.2,21.7,3.0,229300000000.0
255700000000.0,235000000000.0,3.5,19.1,12.0,316200000000.0
61040000000.0,45170000000.0,2.0,18.3,8.9,151200000000.0
174000000000.0,155200000000.0,11.1,27.4,3.4,120900000000.0
95000000000.0,61000000000.0,6.0,19.8,11.5,1492000000000.0
69860000000.0,45070000000.0,10.5,16.6,9.2,827400000000.0
87910000000.0,80840000000.0,8.5,22.5,1.5,524800000000.0
73060000000.0,63450000000.0,1.7,19.8,6.2,174400000000.0
69480000000.0,45660000000.0,4.0,20.8,2.4,63670000000.0
33780000000.0,22060000000.0,12.0,18.3,14.8,483500000000.0
15000000000.0,6150000000.0,10.0,22.9,2.7,19490000000.0
69180000000.0,89330000000.0,7.4,23.8,9.2,3319000000000.0
32910000000.0,31450000000.0,16.5,18.8,3.5,299100000000.0
38630000000.0,37500000000.0,5.0,17.0,11.7,430600000000.0
13140000000.0,6373000000.0,-1.2,13.5,15.0,38090000000.0
29200000000.0,22530000000.0,7.8,23.9,8.5,169100000000.0
11000000000.0,19210000000.0,2.5,15.8,10.9,316300000000.0
38790000000.0,31300000000.0,3.5,31.3,11.2,516700000000.0
6671000000.0,4650000000.0,7.2,19.4,10.4,11480000000.0
15070000000.0,14010000000.0,13.1,16.4,8.3,347300000000.0
6086000000.0,5042000000.0,7.0,16.3,20.0,60440000000.0
5446000000.0,8093000000.0,2.0,18.9,17.0,55680000000.0
9134000000.0,12230000000.0,5.2,18.6,12.7,61630000000.0
8205000000.0,5870000000.0,2.0,12.8,15.0,13010000000.0
4468000000.0,3734000000.0,3.0,16.1,35.0,16250000000.0
2940000000.0,2255000000.0,4.4,25.5,23.8,15050000000.0
2012000000.0,2245000000.0,8.0,22.5,10.8,15680000000.0
1986000000.0,1595000000.0,5.7,10.4,9.2,22330000000.0
7560000000.0,7650000000.0,10.0,20.6,11.1,49510000000.0
1457000000.0,3332000000.0,7.7,24.1,28.5,18790000000.0
7478000000.0,10030000000.0,6.5,23.5,40.0,275700000000.0
34410000000.0,36840000000.0,4.5,17.6,10.7,129000000000.0
3200000000.0,7600000000.0,5.0,11.6,15.0,25500000000.0
3710000000.0,1225000000.0,1.6,21.8,21.0,7966000000.0
2200000000.0,2071000000.0,22.0,9.6,13.0,49270000000.0
4000000000.0,2850000000.0,22.0,29.0,60.0,27600000000.0
3010000000.0,3699000000.0,3.8,19.7,20.0,48270000000.0
9926000000.0,11520000000.0,4.4,24.5,13.8,70880000000.0
12300000000.0,9600000000.0,5.2,17.8,9.6,155300000000.0
2936000000.0,3330000000.0,0.0,18.1,15.1,29930000000.0
18470000000.0,13070000000.0,10.6,23.9,8.0,118400000000.0
14970000000.0,16070000000.0,3.9,24.9,6.4,39410000000.0
1130000000.0,1300000000.0,8.2,22.0,40.0,7950000000.0
900100000.0,1140000000.0,3.7,23.6,34.0,6018000000.0
646700000.0,775100000.0,6.0,17.0,18.0,8495000000.0
689400000.0,972900000.0,3.4,47.0,21.0,23380000000.0
484500000.0,730900000.0,15.5,39.6,45.0,5892000000.0
401400000.0,579900000.0,4.6,33.6,12.9,1778000000.0
1030000000.0,1830000000.0,17.0,17.1,8.0,8581000000.0
2445000000.0,1979000000.0,4.2,16.1,30.0,30170000000.0
1548000000.0,1519000000.0,6.9,41.4,50.0,9409000000.0
2104000000.0,5296000000.0,1.4,11.2,2.5,33920000000.0
1409000000.0,1599000000.0,-7.8,9.9,70.0,24370000000.0
850000000.0,1300000000.0,15.0,19.8,30.0,13650000000.0
419000000000.0,419700000000.0,1.7,19.2,10.1,1737000000000.0
1629000000.0,2677000000.0,0.0,17.5,37.7,14400000000.0
2311000000.0,3129000000.0,22.0,20.9,2.5,26990000000.0
5124000000.0,3360000000.0,15.0,11.3,13.0,24780000000.0
2589000000.0,4190000000.0,2.6,14.7,40.0,34680000000.0
5699000000.0,7164000000.0,5.4,25.0,12.6,20570000000.0
552400000.0,2076000000.0,3.1,18.4,14.8,17460000000.0
1374000000.0,2128000000.0,4.7,20.1,48.0,18360000000.0
2902000000.0,3307000000.0,8.8,23.8,3.1,9373000000.0
2771000000.0,1167000000.0,30.0,50.8,30.0,1270000000.0
5306000000.0,7265000000.0,7.1,22.4,7.8,80580000000.0
49300000.0,415200000.0,-0.3,17.9,3.2,4540000000.0
909400000.0,1806000000.0,3.0,18.5,17.0,14450000000.0
3395000000.0,3496000000.0,8.5,16.0,18.7,76190000000.0
1679000000.0,3624000000.0,-2.0,32.0,15.0,11130000000.0
750000000.0,2020000000.0,4.4,28.0,7.8,12340000000.0
3249000000.0,5968000000.0,0.7,16.6,6.3,32350000000.0
6184000000.0,7842000000.0,3.1,19.2,6.6,37970000000.0
11470000000.0,13570000000.0,4.0,21.8,2.0,70500000000.0
5701000000.0,7318000000.0,5.0,28.2,9.6,19230000000.0
3569000000.0,5970000000.0,8.5,26.1,8.8,26530000000.0
2911000000.0,7770000000.0,4.1,14.9,7.5,59470000000.0
29240000000.0,29670000000.0,5.1,24.0,13.1,78890000000.0
8880000000.0,11020000000.0,12.0,21.9,8.0,45230000000.0
15500000000.0,15340000000.0,4.0,15.8,13.6,281100000000.0
7845000000.0,16700000000.0,2.7,28.6,13.8,50330000000.0
23720000000.0,26310000000.0,16.0,36.6,1.9,227200000000.0
41970000000.0,39420000000.0,5.5,16.7,26.2,491400000000.0
103800000000.0,60650000000.0,7.0,23.8,4.3,126400000000.0
3168000000.0,3622000000.0,4.0,65.1,1.2,30010000000.0
3245000000.0,9538000000.0,1.7,14.4,30.0,26270000000.0
102700000000.0,101200000000.0,3.3,22.6,4.4,255900000000.0
23540000000.0,28430000000.0,4.0,23.3,6.3,171500000000.0
19850000000.0,19770000000.0,5.9,22.4,4.2,92510000000.0
75980000000.0,81610000000.0,10.0,18.4,19.5,463000000000.0
182400000000.0,190800000000.0,3.8,19.4,3.2,1006000000000.0
66510000000.0,68190000000.0,4.7,29.0,10.6,172200000000.0
54620000000.0,58680000000.0,9.6,22.8,5.9,149300000000.0
15500000000.0,54280000000.0,4.1,27.0,10.0,226400000000.0
37680000000.0,52100000000.0,1.1,22.3,6.5,188700000000.0
69460000000.0,94500000000.0,16.5,17.3,9.3,508700000000.0
336400000000.0,329300000000.0,0.7,19.3,8.6,1609000000000.0
172500000000.0,222000000000.0,3.0,25.4,10.4,937600000000.0
347200000000.0,439400000000.0,0.9,16.2,4.8,1782000000000.0
86890000000.0,98100000000.0,1.9,25.3,5.1,611700000000.0
795000000000.0,1476000000000.0,4.4,15.7,5.5,11750000000000.0
